
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Successful | Server response: The student COMPS3355 is registered for the course COMP1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The student COMPS3355 is already registered for the course COMP1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The student COMPS3355 is already registered for the course COMP1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The student COMPS3355 is already registered for the course COMP1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3322, courseID = COMP1234, semester = WINTER | Request state: Successful | Server response: The student COMPS3322 is registered for the course COMP1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS32322, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The course COMP1234 has no room left
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS2255, courseID = COMP1234, semester = FALL | Request state: Failed | Server response: Course  COMP1234  not found in the database
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP123444, semester = WINTER | Request state: Failed | Server response: Course  COMP123444  not found in the database
Logged request date: 10/12/2018 18:18 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: A new course COMP883 has been added for WINTER semester
Logged request date: 10/12/2018 18:18 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: A course COMP883 already exists for WINTER semester
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: The student COMPS3355 is registered for the course COMP883
