
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3355, courseID = INSE1234, semester = WINTER | Request state: Successful | Server response: The student INSES3355 is registered for the course INSE1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3355, courseID = INSE1234, semester = WINTER | Request state: Failed | Server response: The student INSES3355 is already registered for the course INSE1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3355, courseID = INSE1234, semester = WINTER | Request state: Failed | Server response: The student INSES3355 is already registered for the course INSE1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3355, courseID = INSE1234, semester = WINTER | Request state: Failed | Server response: The student INSES3355 is already registered for the course INSE1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3322, courseID = INSE1234, semester = WINTER | Request state: Successful | Server response: The student INSES3322 is registered for the course INSE1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES32322, courseID = INSE1234, semester = WINTER | Request state: Failed | Server response: The course INSE1234 has no room left
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES2255, courseID = INSE1234, semester = FALL | Request state: Failed | Server response: Course  INSE1234  not found in the database
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3355, courseID = INSE123444, semester = WINTER | Request state: Failed | Server response: Course  INSE123444  not found in the database
Logged request date: 10/12/2018 18:18 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = INSE883, semester = WINTER | Request state: Successful | Server response: A new course INSE883 has been added for WINTER semester
Logged request date: 10/12/2018 18:18 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = INSE883, semester = WINTER | Request state: Failed | Server response: A course INSE883 already exists for WINTER semester
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3355, courseID = INSE883, semester = WINTER | Request state: Successful | Server response: The student INSES3355 is registered for the course INSE883
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES332, courseID = INSE883, semester = WINTER | Request state: Successful | Server response: The student INSES332 is registered for the course INSE883
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3445, courseID = INSE883, semester = WINTER | Request state: Successful | Server response: The student INSES3445 is registered for the course INSE883
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = INSES3245, courseID = INSE883, semester = WINTER | Request state: Failed | Server response: The course INSE883 has no room left
Logged request date: 10/12/2018 18:18 | Request type: Get class schedule (student) | Request parameter: studentID = INSES3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is INSE1234, semester is WINTER and course is INSE883, 
Logged request date: 10/12/2018 18:18 | Request type: Drop a course (student) | Request parameter: studentID = INSES3245, courseID = INSE883 | Request state: Failed | Server response: The student with ID INSES3245 did not have a course INSE883 that could be dropped.
Logged request date: 10/12/2018 18:18 | Request type: Drop a course (student) | Request parameter: studentID = INSES3355, courseID = INSE883 | Request state: Successful | Server response: The student with ID INSES3355 has been dropped from the course INSE883
Logged request date: 10/12/2018 18:18 | Request type: Drop a course (student) | Request parameter: studentID = INSES3355, courseID = INSE883 | Request state: Failed | Server response: The student with ID INSES3355 did not have a course INSE883 that could be dropped.
Logged request date: 10/12/2018 18:18 | Request type: Get class schedule (student) | Request parameter: studentID = INSES3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is INSE1234, 
Logged request date: 10/12/2018 18:18 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = INSE883, semester = WINTER | Request state: Successful | Server response: A course INSE883 has been deleted for WINTER semester and the students have been dropped from the course
Logged request date: 10/12/2018 18:18 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = INSE883, semester = WINTER | Request state: Failed | Server response: A course INSE883 does not exists for WINTER semester
Logged request date: 10/12/2018 18:18 | Request type: Get class schedule (student) | Request parameter: studentID = INSES3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is INSE1234, 
