
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Successful | Server response: The student SOENS3355 is registered for the course SOEN1234
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: The student SOENS3355 is already registered for the course SOEN1234
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: The student SOENS3355 is already registered for the course SOEN1234
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: The student SOENS3355 is already registered for the course SOEN1234
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3322, courseID = SOEN1234, semester = WINTER | Request state: Successful | Server response: The student SOENS3322 is registered for the course SOEN1234
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS32322, courseID = SOEN1234, semester = WINTER | Request state: Failed | Server response: The course SOEN1234 has no room left
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS2255, courseID = SOEN1234, semester = FALL | Request state: Failed | Server response: Course  SOEN1234  not found in the database
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN123444, semester = WINTER | Request state: Failed | Server response: Course  SOEN123444  not found in the database
Logged request date: 10/12/2018 18:17 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Successful | Server response: A new course SOEN883 has been added for WINTER semester
Logged request date: 10/12/2018 18:17 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: A course SOEN883 already exists for WINTER semester
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN883, semester = WINTER | Request state: Successful | Server response: The student SOENS3355 is registered for the course SOEN883
